time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,wheel_torque,pitch_torque
5.886,1.7148059125902706,1.3987633370139838,-2.3167428000821046,-4.112427537119004,-2.1688241355647775,-1.5552996148955323,-1.942418534022787,-2.0
5.891,1.7215407637366238,1.2696119918657436,-2.3373112122043884,-4.114383266734493,-2.176647313988536,-1.5706311102752686,-1.9223623367749474,-2.0
5.896,1.7276334115613163,1.1422041756830548,-2.357886375078033,-4.1153479846480785,-2.1845428831372664,-1.5846373163244305,-1.9046530660745253,-2.0
5.901,1.7330923139224454,1.0164333873913671,-2.3784637285626613,-4.115447270942135,-2.1925060472090605,-1.5978894676027269,-1.8887273774151316,-2.0
5.906,1.7379255824028226,0.8922936210088506,-2.399039386894131,-4.1148192150991205,-2.200533064694912,-1.610311252965234,-1.8724558764756358,-2.0
5.9110000000000005,1.7421413990394137,0.7697929448475787,-2.4196094302221764,-4.113372257380029,-2.208621201185801,-1.6224950233677577,-1.8585402906912327,-2.0
5.916,1.7457479270522378,0.6489277574298937,-2.440170095629523,-4.111224306866825,-2.2167701084856697,-1.6346361555593787,-1.8463302574299922,-2.0
5.921,1.748753351552871,0.5297108558425978,-2.4607181588468587,-4.1084563668353065,-2.224979674099831,-1.6467628390583486,-1.8345561251059002,-2.0
5.926,1.751165942296233,0.41216279642663334,-2.481250547968934,-4.105079749402454,-2.2332498226295487,-1.6588702668958875,-1.8233096880760036,-2.0
5.931,1.7529939526968354,0.2961868983876516,-2.501764504249948,-4.101205339866751,-2.241579279448913,-1.6703880165068874,-1.8099526973906654,-2.0
5.936,1.7549453308004046,0.7680275050178118,-2.5222925911581147,-4.109485159422738,-2.2489689668897364,-1.2321583378337637,-1.487155882231898,-2.0
5.941,1.7602959445146966,1.3929543894552476,-2.5427990078578353,-4.092890334300121,-2.2534348159362225,-0.7382804748579683,-1.5282736520846163,-2.0
5.946,1.767467345450366,1.4070886906778344,-2.5631888601869797,-4.072040236375405,-2.2568733982962588,-0.694112282724015,-1.9895053346774552,-2.0
5.9510000000000005,1.7742550312785674,1.282458837301148,-2.583564954117133,-4.076828614113257,-2.2604785975542407,-0.7385004121163792,-1.944550158948852,-2.0
5.956,1.7804139319673298,1.1552972081755302,-2.6039545870248197,-4.0785177071399,-2.264295903766555,-0.7798784400693506,-1.9334433508448774,-2.0
5.961,1.7859334260253346,1.0265805864969813,-2.6243500844501235,-4.079343221020503,-2.2683131030749597,-0.8187583677803751,-1.9155218648400398,-2.0
5.966,1.790807752973687,0.8972437765630602,-2.644746585880388,-4.079107211780142,-2.2725164789778645,-0.8549605873087902,-1.8940480070807928,-2.0
5.971,1.7950352945680264,0.7679741721144762,-2.6651383636860007,-4.077712896770181,-2.276893977796398,-0.8889181864831682,-1.873758622732533,-2.0
5.976,1.798617450278405,0.6392710516796951,-2.685520078311149,-4.075297930452385,-2.2814354493910876,-0.9209788962050042,-1.8539171826605048,-2.0
5.981,1.8015578299068808,0.5115011397908927,-2.705886823952552,-4.071927429220006,-2.2861322752811297,-0.9514281224821495,-1.834863146684109,-2.0
5.986,1.803861644556516,0.3849274356902471,-2.726234017276082,-4.067668135941835,-2.2909771620918886,-0.98049964922313,-1.8167698091349485,-2.0
5.9910000000000005,1.8055352889817682,0.25975039602071304,-2.7465574402127837,-4.062587623990943,-2.295963578669745,-1.0083133139831066,-1.7991209324022412,-2.0
5.996,1.806586036485741,0.15267992680448927,-2.7668536090402305,-4.0572593484459505,-2.30107253879174,-1.021926952264207,-1.7821907480081427,-2.0
6.001,1.807751705787116,0.47480353335006176,-2.787148834807017,-4.059505729445219,-2.3054219353915415,-0.7097466740742648,-1.5198236924625041,-2.0
6.006,1.8110649382603268,0.86778188581674,-2.8074025448748943,-4.043525370255558,-2.3078502573703155,-0.3782470400767739,-1.5666267384410963,-2.0
6.011,1.8154832369883704,0.8443152963065782,-2.8275574734277846,-4.025024986857535,-2.309597146609773,-0.35990075467379173,-1.8713956585755176,-2.0
6.016,1.8194514071832608,0.7172359949003947,-2.8476778534745733,-4.023415490705986,-2.311550231774874,-0.41052859243461226,-1.867139138936617,-2.0
6.021,1.82278150625557,0.5890447832851744,-2.867789437031922,-4.021370036874273,-2.313744431241131,-0.45723603763302795,-1.8424295081737603,-2.0
6.026,1.8254697282826142,0.46053678570566636,-2.887886291227956,-4.017886351456895,-2.316161998716601,-0.5006216639903757,-1.8215490857438346,-2.0
6.031,1.8275156721196895,0.33226255918529946,-2.907962449454869,-4.013312238005536,-2.3187877496533975,-0.5411490075816578,-1.7996336974333167,-2.0
6.0360000000000005,1.8289213879983741,0.20462697682525444,-2.9280123063774335,-4.007613991808454,-2.3216096606132415,-0.5796244651777698,-1.7800973848274941,-2.0
6.041,1.8296906182788768,0.07789626630589847,-2.94803101898242,-4.001038737059567,-2.324617539809155,-0.6159227922273233,-1.7595128783163239,-2.0
6.046,1.8298396046570775,-0.011854911188204772,-2.9680154742155076,-3.994536201878781,-2.327763963151355,-0.6222304609276278,-1.7293568599301727,-2.0
6.051,1.8299886732634163,0.13615290253758638,-2.987979228696806,-3.9903955790057544,-2.3304094456597784,-0.44679631648290613,-1.5578724806983877,-2.0
6.056,1.8312712848496926,0.4230834931666748,-3.0078944912972294,-3.9775863911981295,-2.331839696742274,-0.1880768465491736,-1.5497398458148928,-2.0
6.061,1.8336209127783,0.49171828707334536,-3.0277288243488254,-3.960673161649731,-2.332447189403193,-0.10117816665662657,-1.7149634613101432,-2.0
6.066,1.8359123394683392,0.38885589506127355,-3.047502649894405,-3.9513870686113153,-2.3330385719610494,-0.1384343661123589,-1.7910592541114971,-2.0
6.071,1.8376010956222153,0.2609602094335671,-3.0672449514399713,-3.9463734843862084,-2.333883614975034,-0.1888267298138021,-1.7722279125486102,-2.0
6.0760000000000005,1.8386495559959206,0.1327954550735366,-3.086959229679712,-3.9403287632677944,-2.3349686207762237,-0.23530278396133433,-1.7470907476863522,-2.0
6.081,1.839057535628711,0.004896588487132373,-3.1066393928493086,-3.93301531715434,-2.3362757331895634,-0.2784184349098102,-1.7233503337911975,-2.0
6.086,1.838827172174632,-0.1223622618477159,-3.126279626406789,-3.924580992922602,-2.337789657332687,-0.3187229738495611,-1.699944218618237,-2.0
6.091,1.8380600182386928,-0.15386165258095932,-3.1458794583174785,-3.9171792667368734,-2.3393496092154225,-0.28392914941895936,-1.634446895426047,-2.0
