time_s,tp_per_leg_nm,left_theta_world_rad,right_theta_world_rad
5.741000000000252,0.0,0.014939085206199021,0.014939085206198547
5.742000000000252,0.0,0.014930594466403031,0.01493059446640249
5.743000000000253,0.0,0.01492197728278205,0.014921977282781508
5.744000000000253,0.0,0.014913234425384224,0.014913234425383686
5.745000000000253,0.0,0.014904366661614014,0.014904366661613535
5.746000000000254,0.0,0.01489537475623673,0.014895374756236259
5.747000000000254,0.0,0.014886259471384715,0.014886259471384241
5.748000000000254,0.0,0.014877021566562251,0.01487702156656184
5.749000000000255,0.0,0.014867661798650365,0.014867661798650025
5.750000000000255,0.0,0.014858180921912682,0.01485818092191214
5.751000000000255,0.0,0.014848579688000258,0.014848579687999785
5.752000000000256,0.0,0.01483885884595703,0.014838858845956556
5.753000000000256,0.0,0.01482901914222527,0.014829019142224864
5.754000000000256,0.0,0.014819061320650353,0.014819061320649814
5.755000000000257,0.0,0.014808986122486297,0.014808986122485822
5.756000000000257,0.0,0.01479879428640112,0.014798794286400645
5.757000000000257,0.0,0.01478848654848179,0.014788486548481384
5.758000000000258,0.0,0.01477806364223997,0.014778063642239566
5.759000000000258,0.0,0.014767526298616246,0.01476752629861577
5.760000000000258,0.0,0.014756875245987306,0.01475687524598676
5.761000000000259,0.0,0.014746111210168751,0.014746111210168281
5.762000000000259,0.0,0.01473523491442244,0.014735234914422033
5.763000000000259,0.0,0.014724247079460585,0.014724247079460179
5.76400000000026,0.0,0.014713148423451753,0.014713148423451346
5.76500000000026,0.0,0.014701939662024996,0.014701939662024523
5.76600000000026,0.0,0.014690621508276712,0.014690621508276307
5.767000000000261,0.0,0.014679194672774365,0.01467919467277396
5.768000000000261,0.0,0.01466765986356322,0.01466765986356295
5.769000000000261,0.0,0.014656017786170558,0.014656017786170152
5.770000000000262,0.0,0.01464426914361061,0.014644269143610205
5.771000000000262,0.0,0.014632414636391311,0.014632414636390973
5.772000000000262,0.0,0.014620454962518348,0.01462045496251794
5.773000000000263,0.0,0.014608390817501109,0.014608390817500774
5.774000000000263,0.0,0.014596222894357339,0.014596222894356997
5.775000000000263,0.0,0.01458395188361886,0.014583951883618522
5.776000000000264,0.0,0.014571578473336746,0.014571578473336405
5.777000000000264,0.0,0.014559103349086626,0.01455910334908629
5.778000000000264,0.0,0.014546527193974118,0.014546527193973643
5.779000000000265,0.0,0.014533850688639325,0.014533850688638984
5.780000000000265,0.0,0.014521074511263003,0.014521074511262666
5.781000000000265,0.0,0.01450819933757172,0.014508199337571378
5.782000000000266,0.0,0.014495225840842688,0.014495225840842214
5.783000000000266,0.0,0.01448215469190954,0.01448215469190927
